handleId,fieldType,name,description,productImageUrl,collection,isbn,price,visible,inventory,additionalInfoTitle1,additionalInfoDescription1,,,
9788126717064,Product,Pratinidhi Kahaniyan : Bhishma Sahni,Pratinidhi Kahaniyan : Bhishma Sahni - Bhishma Sahni,https://s3.amazonaws.com/kimicoapps-bookbuddy/2BCDD6B1-AE92-4116-A824-D25B66DA341F,Bhishma Sahni,9788126717064,75,TRUE,1,Written By Bhishma Sahni,Pratinidhi Kahaniyan : Bhishma Sahni - Bhishma Sahni,,,
9788126717378,Product,बाणभट्ट की आत्मकथा,बाणभट्ट की आत्मकथा - हजारीप्रसाद द्विवेदी,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126717378.png,हजारीप्रसाद द्विवेदी,9788126717378,299,TRUE,2,Written By हजारीप्रसाद द्विवेदी,बाणभट्ट की आत्मकथा - हजारीप्रसाद द्विवेदी,,,
9788126717422,Product,ज़िन्दगीनामा,ज़िन्दगीनामा - कृष्णा सोबती [Krishna; Sobti],https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126717422.png,कृष्णा सोबती [Krishna; Sobti],9788126717422,399,TRUE,1,Written By कृष्णा सोबती [Krishna; Sobti],ज़िन्दगीनामा - कृष्णा सोबती [Krishna; Sobti],,,
9788126717606,Product,Sāre suk̲h̲ana hamāre,Sāre suk̲h̲ana hamāre - Faiẓ Aḥmad Faiẓ,http://images.amazon.com/images/P/8126717602.01Z.jpg,Faiẓ Aḥmad Faiẓ,9788126717606,399,TRUE,2,Written By Faiẓ Aḥmad Faiẓ,Sāre suk̲h̲ana hamāre - Faiẓ Aḥmad Faiẓ,,,
9788126717637,Product,Sūkha ̄baragada,Sūkha ̄baragada - Mañzūra Ehateśāma,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126717637.png,Mañzūra Ehateśāma,9788126717637,250,TRUE,2,Written By Mañzūra Ehateśāma,Sūkha ̄baragada - Mañzūra Ehateśāma,,,
9788126717743,Product,प्रतिनिधि कविताएँ,प्रतिनिधि कविताएँ - Gopal Singh Nepali,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126717743.png,Gopal Singh Nepali,9788126717743,75,TRUE,1,Written By Gopal Singh Nepali,प्रतिनिधि कविताएँ - Gopal Singh Nepali,,,
9788126717828,Product,Pratinidhi kahāniyām̐,Pratinidhi kahāniyām̐ - Dr.madhav Sontakke,https://s3.amazonaws.com/kimicoapps-bookbuddy/B77803D1-0A4B-4B44-A14B-8ECC26A94E80,Dr.madhav Sontakke,9788126717828,60,TRUE,1,Written By Dr.madhav Sontakke,Pratinidhi kahāniyām̐ - Dr.madhav Sontakke,,,
9788126718139,Product,Dila kī duniyā,Dila kī duniyā - ʻIṣmat Cug̲h̲tāʼī,http://images.amazon.com/images/P/8126718137.01Z.jpg,ʻIṣmat Cug̲h̲tāʼī,9788126718139,195,TRUE,1,Written By ʻIṣmat Cug̲h̲tāʼī,Dila kī duniyā - ʻIṣmat Cug̲h̲tāʼī,,,
9788126718153,Product,Masooma,Masooma - Ismat Chugtai,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126718153.png,Ismat Chugtai,9788126718153,150,TRUE,2,Written By Ismat Chugtai,Masooma - Ismat Chugtai,,,
9788126718160,Product,दिल की दुनिया,दिल की दुनिया - Ismat Chughtai,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126718160.png,Ismat Chughtai,9788126718160,95,TRUE,1,Written By Ismat Chughtai,दिल की दुनिया - Ismat Chughtai,,,
9788126718801,Product,Hanoosh,Hanoosh - Bhishma Sahni,,Bhishma Sahni,9788126718801,150,TRUE,1,Written By Bhishma Sahni,Hanoosh - Bhishma Sahni,,,
9788126718818,Product,कबिरा खड़ा बजार में,कबिरा खड़ा बजार में - Bhisham Sahni,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126718818.png,Bhisham Sahni,9788126718818,125,TRUE,1,Written By Bhisham Sahni,कबिरा खड़ा बजार में - Bhisham Sahni,,,
9788126718887,Product,Faiz,Faiz - Battacharya,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126718887.png,Battacharya,9788126718887,250,TRUE,2,Written By Battacharya,Faiz - Battacharya,,,
9788126719198,Product,दिल एक सादा काग़ज़,दिल एक सादा काग़ज़ - राही मासूम रज़ा,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126719198.png,राही मासूम रज़ा,9788126719198,195,TRUE,2,Written By राही मासूम रज़ा,दिल एक सादा काग़ज़ - राही मासूम रज़ा,,,
9788126719235,Product,प्रतिनिधि कहानियाँ,प्रतिनिधि कहानियाँ - Geetanjali Shree,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126719235.png,Geetanjali Shree,9788126719235,125,TRUE,1,Written By Geetanjali Shree,प्रतिनिधि कहानियाँ - Geetanjali Shree,,,
9788126719495,Product,प्रतिनिधि कविताएँ,प्रतिनिधि कविताएँ - Kedarnath Agarwal,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126719495.png,Kedarnath Agarwal,9788126719495,60,TRUE,1,Written By Kedarnath Agarwal,प्रतिनिधि कविताएँ - Kedarnath Agarwal,,,
9788126719662,Product,Yaron Ke Yaar,Yaron Ke Yaar - कृष्णा सोबती [Krishna Sobti],https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126719662.png,कृष्णा सोबती [Krishna Sobti],9788126719662,75,TRUE,1,Written By कृष्णा सोबती [Krishna Sobti],Yaron Ke Yaar - कृष्णा सोबती [Krishna Sobti],,,
